cod_dane_mun,Departamento_ocurrencia,Municipio_ocurrencia,total_casos,pct_adolescentes,pct_hospit,pct_psiquia,casos_H1,casos_H2,pct_menores,pct_mujeres,pct_rural,tendencia_H2_H1,poblacion,tasa_x100k,tasa_x100k_norm,pct_adolescentes_norm,tendencia_H2_H1_norm,pct_hospit_norm,pct_psiquia_norm,IPI,nivel_prioridad,ranking_nacional
05107,ANTIOQUIA,BRICENO,1,1.0,0.0,0.0,0,1,1.0,1.0,0.0,1.0,536250.0,0.1864801864801865,0.00011395507448749988,1.0,1.0,0.0,0.0,45.0,Media,32
85001,CASANARE,YOPAL,176,0.23295454545454544,0.9034090909090909,0.017045454545454544,77,99,0.29545454545454547,0.6306818181818182,0.03409090909090909,0.2857142857142857,165000.0,106.66666666666667,0.4818139606872001,0.23295454545454544,0.6428571428571428,0.9034090909090909,0.017045454545454544,44.75,Media,34
20787,CESAR,TAMALAMEQUE,5,0.8,0.4,0.0,1,4,0.8,0.8,0.0,1.0,327500.0,1.5267175572519083,0.006176983045829712,0.8,1.0,0.4,0.0,44.22,Media,35
19392,CAUCA,LA SIERRA,7,0.7142857142857143,0.5714285714285714,0.0,2,5,0.7142857142857143,0.7142857142857143,1.0,1.0,354000.0,1.9774011299435028,0.008215806292401456,0.7142857142857143,1.0,0.5714285714285714,0.0,43.86,Media,36
25535,CUNDINAMARCA,PASCA,3,0.6666666666666666,0.6666666666666666,0.0,1,2,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,232000.0,1.293103448275862,0.005120148705800547,0.6666666666666666,1.0,0.6666666666666666,0.0,43.51,Media,37
25483,CUNDINAMARCA,NARIÑO,3,0.6666666666666666,0.6666666666666666,0.0,0,3,0.6666666666666666,1.0,0.3333333333333333,1.0,232000.0,1.293103448275862,0.005120148705800547,0.6666666666666666,1.0,0.6666666666666666,0.0,43.51,Media,37
25662,CUNDINAMARCA,SAN JUAN DE RIO SECO,3,0.6666666666666666,0.6666666666666666,0.0,0,3,0.6666666666666666,1.0,0.3333333333333333,1.0,232000.0,1.293103448275862,0.005120148705800547,0.6666666666666666,1.0,0.6666666666666666,0.0,43.51,Media,37
95200,GUAVIARE,MIRAFLORES,8,0.625,0.625,0.0,2,6,0.625,0.75,0.375,1.0,77000.0,10.38961038961039,0.046271348657091683,0.625,1.0,0.625,0.0,43.49,Media,40
13268,BOLIVAR,EL PEÑON,6,0.6666666666666666,0.6666666666666666,0.0,2,4,0.8333333333333334,0.8333333333333334,0.16666666666666666,1.0,620000.0,0.967741935483871,0.00364826320560727,0.6666666666666666,1.0,0.6666666666666666,0.0,43.46,Media,41
54377,NORTE SANTANDER,LABATECA,3,0.6666666666666666,0.6666666666666666,0.0,1,2,0.6666666666666666,0.3333333333333333,0.0,1.0,432500.0,0.6936416184971098,0.0024082754802332382,0.6666666666666666,1.0,0.6666666666666666,0.0,43.42,Media,42
91001,AMAZONAS,LETICIA,61,0.4098360655737705,0.6065573770491803,0.0,33,28,0.4262295081967213,0.4918032786885246,0.06557377049180328,-0.15151515151515152,52000.0,117.30769230769232,0.5299523259591361,0.4098360655737705,0.42424242424242425,0.6065573770491803,0.0,43.34,Media,43
